Constant,Recipe
T2_POTION_ENERGY,"[('T2_AGARIC', 8)]"
T2_POTION_HEAL,"[('T2_AGARIC', 8)]"
T3_POTION_REVIVE,"[('T3_COMFREY', 8)]"
T3_POTION_STONESKIN,"[('T3_COMFREY', 8)]"
T3_POTION_ACID,"[('T3_COMFREY', 16), ('T3_ALCHEMY_RARE_DIREBEAR', 1)]"
T3_POTION_MOB_RESET,"[('T3_COMFREY', 16), ('T3_ALCHEMY_RARE_PANTHER', 1)]"
T3_POTION_CLEANSE2,"[('T3_COMFREY', 16), ('T3_ALCHEMY_RARE_ENT', 1)]"
T3_POTION_SLOWFIELD,"[('T3_COMFREY', 8)]"
T4_POTION_ENERGY,"[('T4_BURDOCK', 24), ('T4_MILK', 6)]"
T4_POTION_HEAL,"[('T4_BURDOCK', 24), ('T3_EGG', 6)]"
T4_POTION_COOLDOWN,"[('T4_BURDOCK', 8), ('T3_COMFREY', 4)]"
T4_POTION_GATHER,"[('T4_BUTTER', 16), ('T3_ALCHEMY_RARE_ELEMENTAL', 1)]"
T4_POTION_LAVA,"[('T4_MILK', 16), ('T3_ALCHEMY_RARE_IMP', 1)]"
T4_POTION_BERSERK,"[('T4_BURDOCK', 16), ('T3_ALCHEMY_RARE_WEREWOLF', 1)]"
T4_POTION_TORNADO,"[('T4_BURDOCK', 16), ('T3_ALCHEMY_RARE_EAGLE', 1)]"
T5_POTION_REVIVE,"[('T5_TEASEL', 24), ('T4_BURDOCK', 12), ('T5_EGG', 6)]"
T5_POTION_STONESKIN,"[('T5_TEASEL', 24), ('T4_BURDOCK', 12), ('T4_MILK', 6)]"
T5_POTION_SLOWFIELD,"[('T5_TEASEL', 24), ('T4_BURDOCK', 12), ('T5_EGG', 6)]"
T5_POTION_ACID,"[('T5_TEASEL', 48), ('T4_BURDOCK', 24), ('T4_MILK', 12), ('T5_ALCHEMY_RARE_DIREBEAR', 1)]"
T5_POTION_MOB_RESET,"[('T5_TEASEL', 48), ('T4_BURDOCK', 24), ('T2_AGARIC', 12), ('T5_ALCHEMY_RARE_PANTHER', 1)]"
T5_POTION_CLEANSE2,"[('T5_TEASEL', 48), ('T3_COMFREY', 24), ('T4_BUTTER', 12), ('T5_ALCHEMY_RARE_ENT', 1)]"
T6_POTION_BERSERK,"[('T6_FOXGLOVE', 48), ('T2_AGARIC', 24), ('T6_POTATO', 12), ('T5_ALCHEMY_RARE_WEREWOLF', 1)]"
T6_POTION_ENERGY,"[('T6_FOXGLOVE', 72), ('T6_MILK', 18), ('T6_POTATO', 18)]"
T6_POTION_HEAL,"[('T6_FOXGLOVE', 72), ('T5_EGG', 18), ('T6_POTATO', 18)]"
T6_POTION_COOLDOWN,"[('T6_FOXGLOVE', 24), ('T5_TEASEL', 12), ('T3_COMFREY', 12), ('T6_MILK', 6)]"
